FID,ogc_fid,upid,usid,category
oilslicks.106,106,261.0106,261,Pollution Slick Second Rank
oilslicks.107,107,261.0107,261,Pollution Slick Second Rank
oilslicks.108,108,261.0108,261,Pollution Slick Second Rank
oilslicks.109,109,261.0109,261,Pollution Slick Second Rank
oilslicks.112,112,261.0112,261,Pollution Slick Second Rank
oilslicks.113,113,261.0113,261,Pollution Slick Second Rank
oilslicks.117,117,261.0117,261,Pollution Slick Second Rank
oilslicks.118,118,261.0118,261,Pollution Slick Second Rank
oilslicks.121,121,261.0121,261,Pollution Slick Second Rank
oilslicks.114,114,261.0114,261,Pollution Slick Second Rank
oilslicks.115,115,261.0115,261,Pollution Slick Second Rank
oilslicks.116,116,261.0116,261,Pollution Slick Second Rank
oilslicks.119,119,261.0119,261,Pollution Slick Second Rank
oilslicks.122,122,261.0122,261,Pollution Slick Second Rank
oilslicks.123,123,261.0123,261,Pollution Slick Second Rank
oilslicks.120,120,261.012,261,Pollution Slick Second Rank
oilslicks.124,124,261.0124,261,Pollution Slick Second Rank
oilslicks.125,125,261.0125,261,Pollution Slick Second Rank
oilslicks.126,126,261.0126,261,Pollution Slick Second Rank
oilslicks.127,127,261.0127,261,Pollution Slick Second Rank
oilslicks.128,128,261.0128,261,Pollution Slick Second Rank
oilslicks.139,139,261.0139,261,Seepage Slick Third Rank
oilslicks.129,129,261.0129,261,Pollution Slick Second Rank
oilslicks.130,130,261.013,261,Pollution Slick Second Rank
oilslicks.131,131,261.0131,261,Pollution Slick Second Rank
oilslicks.132,132,261.0132,261,Pollution Slick Second Rank
oilslicks.133,133,261.0133,261,Pollution Slick Second Rank
oilslicks.134,134,261.0134,261,Pollution Slick Second Rank
oilslicks.135,135,261.0135,261,Pollution Slick Second Rank
oilslicks.136,136,261.0136,261,Pollution Slick Second Rank
oilslicks.137,137,261.0137,261,Pollution Slick Second Rank
oilslicks.138,138,261.0138,261,Seepage Slick Third Rank
oilslicks.140,140,261.014,261,Seepage Slick Third Rank
oilslicks.141,141,261.0141,261,Seepage Slick Third Rank
oilslicks.142,142,261.0142,261,Seepage Slick Third Rank
oilslicks.143,143,261.0143,261,Pollution Slick Second Rank
oilslicks.144,144,261.0144,261,Pollution Slick Second Rank
